ibge;uf;nome_cidade;longitude;latitude;regiao
3201209;ES;Cachoeiro de Itapemirim;-411.119.188.104;-208.501.123.497;Sul Esprito-Santense
3201308;ES;Cariacica;-403.905.591.047;-202.946.777.965;Central Esprito-Santense
3201407;ES;Castelo;-41.202.212.704;-206.020.650.861;Sul Esprito-Santense
3201506;ES;Colatina;-40.630.317.554;-195.362.700.836;Noroeste Esprito-Santense
3201605;ES;Conceicao da Barra;-397.274.744.194;-185.984.623.009;Litoral Norte Esprito-Santense
3201704;ES;Conceicao do Castelo;-412.453.480.412;-203.655.811.138;Central Esprito-Santense
3201803;ES;Divino de Sao Lourenco;-416.799.763.283;-206.204.706.519;Sul Esprito-Santense
3201902;ES;Domingos Martins;-406.593.963.546;-203.642.385.224;Central Esprito-Santense
3202009;ES;Dores do Rio Preto;-418.495.773.625;-206.928.939.053;Sul Esprito-Santense
3202108;ES;Ecoporanga;-408.300.811.593;-183.752.523.795;Noroeste Esprito-Santense
3202207;ES;Fundao;-40.403.765.444;-199.334.471.177;Litoral Norte Esprito-Santense
3202256;ES;Governador Lindenberg;-404.577.660.614;-192.528.074.444;Noroeste Esprito-Santense
3202306;ES;Guacui;-416.794.962.927;-207.753.378.053;Sul Esprito-Santense
3202405;ES;Guarapari;-404.950.210.195;-206.659.745.796;Central Esprito-Santense
3202454;ES;Ibatiba;-415.072.079.995;-202.340.203.463;Sul Esprito-Santense
3202504;ES;Ibiracu;-403.716.661.789;-198.318.799.981;Litoral Norte Esprito-Santense
3202553;ES;Ibitirama;-416.594.124.009;-205.387.309.666;Sul Esprito-Santense
3202603;ES;Iconha;-408.112.210.453;-207.971.447.539;Central Esprito-Santense
3202652;ES;Irupi;-416.475.278.615;-203.485.970.393;Sul Esprito-Santense
3202702;ES;Itaguacu;-408.565.984.866;-198.025.077.112;Central Esprito-Santense
3202801;ES;Itapemirim;-408.361.451.168;-210.110.996.273;Sul Esprito-Santense
3202900;ES;Itarana;-408.797.910.822;-19.872.348.006;Central Esprito-Santense
3203007;ES;Iuna;-415.328.886.935;-203.485.995.138;Sul Esprito-Santense
3204559;ES;Santa Maria de Jetiba;-407.416.178.006;-200.288.140.582;Central Esprito-Santense
3204609;ES;Santa Teresa;-405.989.977.217;-199.377.143.169;Central Esprito-Santense
3204658;ES;Sao Domingos do Norte;-406.218.777.327;-1.914.816.851;Noroeste Esprito-Santense
3204708;ES;Sao Gabriel da Palha;-405.295.995.076;-190.219.647.532;Noroeste Esprito-Santense
3204807;ES;Sao Jose do Calcado;-416.560.878.498;-210.261.302.467;Sul Esprito-Santense
3204906;ES;Sao Mateus;-398.582.005.956;-187.184.469.679;Litoral Norte Esprito-Santense
3204955;ES;Sao Roque do Canaa;-406.431.387.555;-197.253.072.048;Central Esprito-Santense
3205002;ES;Serra;-402.752.170.367;-201.567.698.424;Central Esprito-Santense
3205010;ES;Sooretama;-400.964.908.071;-191.919.496.279;Litoral Norte Esprito-Santense
3205036;ES;Vargem Alta;-410.071.483.602;-206.716.781.988;Sul Esprito-Santense
3205069;ES;Venda Nova do Imigrante;-411.290.532.111;-203.315.181.774;Central Esprito-Santense
3205101;ES;Viana;-404.956.243.355;-203.908.625.112;Central Esprito-Santense
3205150;ES;Vila Pavao;-406.024.114.108;-186.208.034.523;Noroeste Esprito-Santense
3205176;ES;Vila Valerio;-403.905.897.774;-189.936.174.389;Noroeste Esprito-Santense
3205200;ES;Vila Velha;-402.939.566.369;-203.383.741.042;Central Esprito-Santense
3205309;ES;Vitoria;-403.222.087.267;-203.201.537.929;Central Esprito-Santense
3300100;RJ;Angra dos Reis;-443.196.272.623;-230.091.159.353;Sul Fluminense
3300159;RJ;Aperibe;-421.049.166.541;-216.194.217.698;Noroeste Fluminense
3300209;RJ;Araruama;-423.410.960.232;-228.774.383.874;Baixadas
3300225;RJ;Areal;-431.010.698.052;-222.369.120.036;Centro Fluminense
3300233;RJ;Armacao dos Buzios;-418.877.494.681;-227.577.637.929;Baixadas
3300258;RJ;Arraial do Cabo;-420.283.359.676;-229.676.382.776;Baixadas
